year,Adunu,Anninigi,Babadudu,Bacita,Badegi,Baidna,Bakeko,Batagi,Batako,Batati,Birnin Maza,Bisanti,Bode Saadu,Bokani,Boku,Busu,Chimbi,Dassun,Dikko,Duma,Dzwafu,Edati Pata,Edokota,Edotsu,Edozhigi A,Edozhigi B,Egbako,Essa,Essan,Etsu Audu,Etsu Tasha A,Etsugai,Evuti Vatsa,Fazhi,Gana,Gawu,Gazhe One,Gazhe Two,Gbadafu,Gbakogi,Gbangba,Gbata,Gbugbu,Gidan Kwanu,Gogata,Gonagi,Gulu,Guzan,Ijagwari,Ishau,Izom,Jangaru,Jebba,Jedna,Jehunkunu,Jere,Jima,Kabo,Kakaki,Kampala,Kataeregi,Koro,Kpaki,Kpandaragi,Kudna,Kudu,Kusotachi,Kutiriko,Kwagana,Kwaka,Kwakuti,Labozhi,Lagun,Lambata,Lefu,Lemu,Magaji,Maikunkele,Maitumbi,Mangoro Hassan,Muwo,Nangau,Nuwankota,Oloru,Pangu,Pyatta,Rabba,Rokota,Sabon Dagah,Sakpe,Shao,Shatta,Shatta Sabo,Shipardna,Somazhiko,Sonfada,Tagagi,Takuti Shaba,Takuti Shaku,Tuna,Tunga Mallam,Tutungo,Zhimyi,Zuruh,Adogi,Adunu 2,Agwatashi,Agyaragu,Agyaragu Tofa,Akura,Alagye,Alapa,Alizaga,Alwaza,Andaha,Ankoro,Apado,Arikpa,Ashangwa,Ashige,Assakio,Barkin Abdullahi,Bisanti 2,Bokungi,Burum-Burum,Charati,Chengudu,Daddere,Ejidogari,Esanti,Essan B,Evunta,Garaku,Garam,Gbara,Gidan Ausa,Gitta,Gudi,Gurdi,Gwanje,Iponri,Iwashi,Keffin Wambai,Kokodo,Kurmin Tagwaye,Kwandare,Lanwa,Lenfa,Lizzin Ezzen,Mada Station,Mambe,Nakere,Ngbambula,Nunku,Pangu 2,Pangu 3,Patidzuru,Sabon Makera,Shabu,Takuti Abuja,Tsonga 1,Tsonga 2,Tudun Adabu,Tufa,Wakama,Wamba Kurmi,Yelwa,Yikpata,Zambufu,Zanchitagi,Zolegi,UREGI COOPERATIVE,BOBI COOPERATIVE
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2,1,0,0,0,2,0,2,2,1,0,2,0,0,2,0,0,0,2,2,2,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1
2006,1,1,0,0,3,1,3,2,0,0,0,2,0,0,0,2,0,0,1,0,3,0,0,2,0,2,0,3,1,0,0,2,0,0,0,0,0,0,0,3,2,1,1,1,0,0,1,0,1,1,0,5,0,0,0,1,0,1,1,5,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,3,3,5,3,0,1,2,0,3,5,0,0,1,0,0,5,5,5,2,0,0,0,1,1,0,1,5,1,4,1,4,5,5,4,5,0,4,4,2,0,0,4,5,4,4,5,2,0,5,0,0,4,0,1,1,0,4,1,1,5,2,2,0,2,0,5,5,1,2,5,0,0,4,4,2,2,2,1,3,3,0,0,5,0,0,0,4,0,2,2,5,0,1,2,0,3,5
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,2,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,1,0,1,0,1,1,0,2,1,0,0,1,1,0,2,2,0,0,0,0,0,1,0,0,0,1,0,2,2,1,0,0,0,0,0,0
2010,2,3,0,0,0,2,0,0,0,0,2,1,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,1,3,0,1,2,0,0,0,0,1,3,0,3,0,0,1,0,2,2,2,2,0,1,0,2,0,2,2,2,1,2,0,0,2,0,0,1,2,2,2,0,0,2,2,1,0,2,2,2,0,1,1,0,2,2,1,0,3,0,0,2,2,2,1,2,1,1,2,2,1,3,2,2,1,2,2,1,1,0,4,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,2,0,0,2,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,2,2
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,1,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,2,2,1,1,1,3,1,1,1,1,4,3,1,1,3,1,2,1,3,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,3,3,1,1,1,1,1,2,1,2,1,1,3,1,3,2,3,2,1,3,1,2,1,2,2,2,3,2,1,1,3,1,1,3,2,3,2,1,1,3,3,1,1,2,2,2,0,2,1,1,2,2,1,1,2,1,0,2,2,2,1,4,3,3,3,3,3,2,2,2,1,2,1,2,2,0,1,1,1,1,0,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,3,1,2,0,1,1,1,1,1,1,1,0,2,1,1,1,1,1,0,0,1,2,2,1,1,2,3,1,1,1,3,0,0,1,1,1,1,3,2,2
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,1,1,1,1,0,1,3,2,2,0,2,1,2,0,3,0,2,0,0,1,2,2,1,2,3,2,1,1,2,2,2,0,2,1,0,2,2,2,1,2,1,1,1,2,2,0,2,0,0,0,1,1,1,1,1,2,0,1,1,2,0,1,0,0,1,3,1,0,0,0,1,1,0,0,2,1,1,0,1,0,1,2,1,1,1,1,2,1,2,1,1,1,1,2,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,2,0,0,1,2,1,1,1,1,2,1,0,2,0,1,1,0,1,1,0,0,1,1,0,1,2,1,1,2,1,1,1,1,1,0,2,0,1,1,1,1,0,1,1,0,0,1,3,1,1,1
2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,2,3,4,3,2,3,3,2,3,2,2,4,2,3,3,1,3,1,2,3,3,2,3,4,3,3,3,1,2,4,2,3,3,3,2,4,4,2,3,3,2,4,2,2,4,3,3,1,1,2,1,4,3,10,1,4,1,1,1,2,1,2,3,2,2,3,3,1,1,1,2,2,2,2,3,3,1,1,1,4,2,3,10,1,1,5,3,2,4,4,1,1,1,3,2,3,3,2,2,3,2,1,1,2,1,1,3,3,2,1,10,2,2,1,4,3,2,3,2,2,2,2,3,2,2,3,2,4,4,1,4,2,1,3,3,1,1,2,1,3,2,2,4,1,3,3,4,2,2,3,1,1,1,1,1,3,2,3,3,5,5,2,2,1,1,2,3,4,3,3,1,1
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,3,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
