name,latitude,longitude,threshold,heat_days,payout,status,last_updated,season_day,total_season_days
Pyatta,9.75,6.5,40.4,0,0,Safe,2026-04-16,47,92
Rabba,9.25,5.0,41.7,0,0,Safe,2026-04-16,47,92
Rokota,9.0,5.5,41.6,0,0,Safe,2026-04-16,47,92
Sabon Dagah,9.5,6.5,40.8,0,0,Safe,2026-04-16,47,92
Sakpe,9.0,5.75,41.6,0,0,Safe,2026-04-16,47,92
Shao,8.5,4.5,40.0,0,0,Safe,2026-04-16,47,92
Shatta,9.75,6.5,40.4,0,0,Safe,2026-04-16,47,92
Shatta Sabo,9.75,6.5,40.4,0,0,Safe,2026-04-16,47,92
Shipardna,9.75,6.5,40.4,0,0,Safe,2026-04-16,47,92
Somazhiko,9.5,6.0,41.1,0,0,Safe,2026-04-16,47,92
Sonfada,9.0,6.75,41.1,0,0,Safe,2026-04-16,47,92
Tagagi,9.25,6.5,41.3,0,0,Safe,2026-04-16,47,92
Takuti Shaba,9.25,6.5,41.3,0,0,Safe,2026-04-16,47,92
Takuti Shaku,9.25,6.75,40.3,0,0,Safe,2026-04-16,47,92
Tuna,9.25,6.75,40.3,0,0,Safe,2026-04-16,47,92
Tunga Mallam,9.25,6.5,41.3,0,0,Safe,2026-04-16,47,92
Tutungo,9.5,6.5,40.8,0,0,Safe,2026-04-16,47,92
Zhimyi,9.75,6.5,40.4,0,0,Safe,2026-04-16,47,92
Zuruh,9.5,6.75,39.6,0,0,Safe,2026-04-16,47,92
Adogi,8.5,8.75,41.1,0,0,Safe,2026-04-16,47,92
Adunu 2,9.5,7.25,39.8,0,0,Safe,2026-04-16,47,92
Agwatashi,8.25,8.75,40.7,0,0,Safe,2026-04-16,47,92
Agyaragu,8.5,8.5,40.5,0,0,Safe,2026-04-16,47,92
Agyaragu Tofa,8.5,8.5,40.5,0,0,Safe,2026-04-16,47,92
Akura,8.75,8.75,40.5,0,0,Safe,2026-04-16,47,92
Alagye,8.25,8.25,40.7,0,0,Safe,2026-04-16,47,92
Alapa,8.75,4.5,40.2,0,0,Safe,2026-04-16,47,92
Alizaga,8.75,8.5,39.9,0,0,Safe,2026-04-16,47,92
Alwaza,8.75,8.5,39.9,0,0,Safe,2026-04-16,47,92
Andaha,9.0,8.5,39.5,0,0,Safe,2026-04-16,47,92
Ankoro,9.0,4.75,41.3,0,0,Safe,2026-04-16,47,92
Apado,8.75,4.75,40.7,0,0,Safe,2026-04-16,47,92
Arikpa,8.75,8.5,39.9,0,0,Safe,2026-04-16,47,92
Ashangwa,8.5,8.5,40.5,0,0,Safe,2026-04-16,47,92
Ashige,8.5,8.75,41.1,0,0,Safe,2026-04-16,47,92
Assakio,8.5,8.75,41.1,0,0,Safe,2026-04-16,47,92
Barkin Abdullahi,8.5,8.25,40.6,0,0,Safe,2026-04-16,47,92
Bisanti 2,9.25,6.25,40.8,0,0,Safe,2026-04-16,47,92
Bokungi,8.75,5.0,40.9,0,0,Safe,2026-04-16,47,92
Burum-Burum,8.5,8.25,40.6,0,0,Safe,2026-04-16,47,92
Charati,9.5,5.5,41.3,0,0,Safe,2026-04-16,47,92
Chengudu,9.25,5.75,41.4,0,0,Safe,2026-04-16,47,92
Daddere,8.5,8.75,41.1,0,0,Safe,2026-04-16,47,92
Ejidogari,9.0,4.75,41.3,0,0,Safe,2026-04-16,47,92
Esanti,8.75,5.5,41.3,0,0,Safe,2026-04-16,47,92
Essan B,9.5,6.75,39.6,0,0,Safe,2026-04-16,47,92
Evunta,9.0,5.75,41.6,0,0,Safe,2026-04-16,47,92
Garaku,8.75,8.25,39.8,0,0,Safe,2026-04-16,47,92
Garam,9.25,7.25,39.5,0,0,Safe,2026-04-16,47,92
Gbara,8.75,5.75,41.3,2,20,Triggered,2026-04-16,47,92
